type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
java,java软件工程师[丰台区],博宇通达,2000,4000,经验在校,应届,"IT技术服务｜咨询,人工智能服务,物联网 / 不需要融资 / 50-150人",50-150,软件服务｜咨询/IT技术服务｜咨询/SQL Server/ORACLE,专业技术团队、丰富的技术培训,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/33/E8/Cgp9HWBv9p-ANUCOAAAzU3zKcMM050.png,北京
java,java开发实习生[中关村],铂诺商学,2000,3000,经验在校,应届,"教育,金融 / A轮 / 50-150人",50-150,电商平台,行业大佬亲自带队,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/7A/9E/Cgq2xl55nJSAZxFWAABYCtvmRWs350.png,北京
java,java开发工程师[科技园区],京北方,15000,19000,经验3-5年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,软件服务｜咨询,银行,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,高级java开发工程师[海淀区],贝壳,25000,35000,经验3-5年,本科,居住服务 / 上市公司 / 2000人以上,2000,居住服务,上市公司；薪资福利好；核心业务,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/6E/FE/Cgp9HWIAlrqAVQ1tAAAWrDCJNg4614.png,北京
java,java高级开发工程师[西城区],圆融汇通,20000,30000,经验5-10年,本科,"软件服务｜咨询,数据服务｜咨询,信息安全 / 未融资 / 15-50人",15-50,软件服务｜咨询/IT技术服务｜咨询,福利待遇好，升职加薪空间大,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/53/35/CioPOWEUj8WAOCG1AAAdiifHbd0514.png,北京
java,高级java开发工程师[酒仙桥],自如网,25000,35000,经验5-10年,本科,居住服务 / C轮 / 2000人以上,2000,全栈工程师/居住服务/后端工程师,租房福利,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/73/19/CioPOWIUXYyAHMKHAAA-ljuLV0U557.png,北京
java,JAVA[西二旗],京北方,10000,12000,经验1-3年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,软件服务｜咨询/科技金融/后端工程师/Spring/计算机/软件工程相关专业,银行项目，长期稳定,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,高级java开发工程师[公主坟],融汇,20000,40000,经验3-5年,本科,IT技术服务｜咨询 / 不需要融资 / 50-150人,50-150,软件服务｜咨询/人工智能服务/JavaScript/Hadoop/后端工程师,人工智能、大模型、一流的团队、创新项目,https://www.lgstatic.com/thumbnail_120x120/image1/M00/43/65/CgYXBlXRZtuADbFZAADQiAyJ_M4164.jpg,北京
java,高级java开发工程师[望京],百融云创,25000,40000,经验3-5年,本科,"科技金融,人工智能服务 / 上市公司 / 500-2000人",500-2000,账务系统/科技金融/后端工程师,发展前景好,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/32/52/CgoB5lzdGueAacOGAAC2R7KXAu0992.png,北京
java,高级java开发工程师[月坛],亚信科技,15000,25000,经验3-5年,本科,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上",2000,Hadoop/Python,核心技术,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A1/42/CgotOVvS-F2ARLCqAAGhhVXKtLw993.jpg,北京
java,Java开发工程师[朝阳区],完美世界,15000,30000,经验1-3年,本科,游戏 / 上市公司 / 2000人以上,2000,Linux/游戏,同事友好，有定期团建,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/15/CgYXBlTUWECAXAksAABGkmdtwig327.jpg,北京
java,高级Java开发工程师[海淀区],搜狐集团,25000,35000,经验3-5年,不限,"内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上",2000,移动互联网/后端/平台,"工作氛围好,精英团队,核心业务",https://www.lgstatic.com/thumbnail_120x120/i/image3/M00/15/40/Cgq2xlpxrIKAPFRwAAAzLesdOpI884.png,北京
java,java开发工程师[西北旺],中电金信,15000,25000,经验5-10年,大专,"IT技术服务｜咨询,软件服务｜咨询 / B轮 / 2000人以上",2000,软件服务｜咨询/Spring,稳定 六险一金 面试通过率高,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/4F/A5/CioPOWD6YxGAD-CWAAAsgCdp12U635.jpg,北京
java,高级java开发工程师[朝阳区],中电金信,16000,17000,经验3-5年,本科,"IT技术服务｜咨询,软件服务｜咨询 / B轮 / 2000人以上",2000,jvm/分布式系统开发经验/中大型项目架构经验/旅游｜出行/后端工程师,周末双休,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/4F/A5/CioPOWD6YxGAD-CWAAAsgCdp12U635.jpg,北京
java,Java开发工程师[西二旗],贝壳,25000,40000,经验3-5年,本科,居住服务 / 上市公司 / 2000人以上,2000,房地产｜建筑｜物业/python/linux/AIGC/后端工程师,带薪年假、三餐福利、五险一金、节日福利,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/6E/FE/Cgp9HWIAlrqAVQ1tAAAWrDCJNg4614.png,北京
java,java软件工程师[丰台区],博宇通达,2000,4000,经验在校,应届,"IT技术服务｜咨询,人工智能服务,物联网 / 不需要融资 / 50-150人",50-150,软件服务｜咨询/IT技术服务｜咨询/SQL Server/ORACLE,专业技术团队、丰富的技术培训,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/33/E8/Cgp9HWBv9p-ANUCOAAAzU3zKcMM050.png,北京
java,java开发实习生[中关村],铂诺商学,2000,3000,经验在校,应届,"教育,金融 / A轮 / 50-150人",50-150,电商平台,行业大佬亲自带队,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/7A/9E/Cgq2xl55nJSAZxFWAABYCtvmRWs350.png,北京
java,高级java开发工程师[东四],奇点浩翰,20000,30000,经验3-5年,本科,"数据服务｜咨询,IT技术服务｜咨询 / 未融资 / 50-150人",50-150,金融业/IT技术服务｜咨询/Spring,平台稳定,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/8D/CD/CgpFT1r7kZaAH3RAAABB80EZqKA809.png,北京
java,Java工程师[朝阳区],美团,25000,45000,经验1-3年,本科,消费生活 / 上市公司 / 2000人以上,2000,软件开发,团队氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/03/84/CgpVE1_ch26AEM8AAAAxNiZmyCE990.png,北京
java,java开发工程师[科技园区],京北方,15000,19000,经验3-5年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,软件服务｜咨询,银行,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
java,java开发工程师[科技园区],京北方,12000,20000,经验5-10年,本科,IT技术服务｜咨询 / 上市公司 / 2000人以上,2000,flink/银行/科技金融/MyBatis/金融业,五险一金 带薪年假 完善的员工培训机制,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/65/46/CioPOWGprYKAJMvZAAPBLPU6rns024.png,北京
